@RELATION 'Music feature'
%rows=1
%columns=14720
%sample_rate=22050
%window_size=512
%step_size=512

@ATTRIBUTE 'Distances in phase domain' NUMERIC
@ATTRIBUTE WindowNumber NUMERIC

@DATA
0.0026942263,356
0.004751619,357
0.011045892,358
0.010676577,359
0.010003998,360
0.008415118,361
0.0052602184,362
0.005002929,363
0.005834758,364
0.004148429,365
0.0039811293,366
0.0035514613,367
0.0026929774,368
0.002681783,369
0.0026013977,370
0.0028397834,371
0.0029813123,372
0.004916953,373
0.020268882,374
0.034964327,375
0.028432768,376
0.022713078,377
0.018071262,378
0.014343427,379
0.010116439,380
0.004643246,381
0.005960016,382
0.0072569875,383
0.011557056,384
0.014699344,385
0.012580469,386
0.011787813,387
0.011195295,388
0.017358277,389
0.025253663,390
0.021663897,391
0.016973281,392
0.014140043,393
0.013196089,394
0.018258665,395
0.027007189,396
0.026846617,397
0.02501334,398
0.021989807,399
0.015475472,400
0.036264915,401
0.037748415,402
0.030128641,403
0.025174994,404
0.020406907,405
0.0346922,406
0.044133324,407
0.047318276,408
0.039300945,409
0.03469825,410
0.0524232,411
0.059317045,412
0.05446896,413
0.05212527,414
0.046474297,415
0.037611526,416
0.038197063,417
0.05719696,418
0.11067793,419
0.09166156,420
0.07335434,421
0.056495283,422
0.044378366,423
0.033310458,424
0.03480885,425
0.045251656,426
0.038411178,427
0.03938788,428
0.0339529,429
0.023605656,430
0.02848535,431
0.041217413,432
0.034613762,433
0.030031392,434
0.023345493,435
0.015655294,436
0.015599662,437
0.019566782,438
0.026861792,439
0.03207808,440
0.031101657,441
0.027629914,442
0.026746733,443
0.025209876,444
0.025530292,445
0.024088731,446
0.024172017,447
0.03385151,448
0.03339643,449
0.024158014,450
0.020599298,451
0.014809222,452
0.020740736,453
0.027958076,454
0.023333928,455
0.020250555,456
0.017683044,457
0.016450712,458
0.01725122,459
0.016477175,460
0.016847262,461
0.022158455,462
0.021106737,463
0.019512627,464
0.019026099,465
0.019632526,466
0.016846912,467
0.019440923,468
0.038274344,469
0.03806533,470
0.032325555,471
0.030469297,472
0.0213761,473
0.019624686,474
0.021137143,475
0.01897726,476
0.01789409,477
0.03393351,478
0.02982241,479
0.026015913,480
0.022021882,481
0.018641008,482
0.01576482,483
0.013447691,484
0.013040248,485
0.013326819,486
0.021845922,487
0.02638397,488
0.026330113,489
0.024080558,490
0.021419242,491
0.019798813,492
0.023093758,493
0.042731285,494
0.04339796,495
0.040193252,496
0.039798055,497
0.037632022,498
0.03494002,499
0.0302586,500
0.028176585,501
0.023101885,502
0.019420719,503
0.016909374,504
0.02319052,505
0.027019745,506
0.022619594,507
0.02046749,508
0.021533,509
0.02472796,510
0.021873046,511
0.018128011,512
0.01672759,513
0.015869282,514
0.017232366,515
0.023835633,516
0.02342081,517
0.024117721,518
0.04262141,519
0.047142744,520
0.03658868,521
0.04286819,522
0.046521224,523
0.04161515,524
0.04036298,525
0.038361777,526
0.033793673,527
0.058274075,528
0.05061516,529
0.043714546,530
0.045119017,531
0.060029015,532
0.038764145,533
0.036826063,534
0.044292677,535
0.047742277,536
0.044848796,537
0.04557788,538
0.050338265,539
0.040545855,540
0.03089384,541
0.047471445,542
0.045305908,543
0.030418614,544
0.04117652,545
0.036548242,546
0.037567303,547
0.031961024,548
0.027964996,549
0.03348461,550
0.024443612,551
0.020367602,552
0.01964713,553
0.017615363,554
0.016196376,555
0.01621057,556
0.014425012,557
0.013133126,558
0.012076169,559
0.011805936,560
0.012130631,561
0.013008623,562
0.011857377,563
0.010142065,564
0.009576411,565
0.011159088,566
0.008477606,567
0.008157128,568
0.0072706444,569
0.0072627612,570
0.006243731,571
0.0070673516,572
0.0080164485,573
0.010759998,574
0.015488257,575
0.015170102,576
0.015158493,577
0.014018095,578
0.013956996,579
0.013116269,580
0.011250405,581
0.0084180115,582
0.007125851,583
0.012645261,584
0.01321091,585
0.009998216,586
0.010155424,587
0.0068465252,588
0.0070349094,589
0.005923973,590
0.0058886674,591
0.0056220368,592
0.0059966696,593
0.0062376033,594
0.006012357,595
0.0065966113,596
0.0057666823,597
0.0050376607,598
0.0047690365,599
0.004563234,600
0.0033710117,601
0.0029816974,602
0.0029718997,603
0.0034383025,604
0.003331354,605
0.0021718568,606
0.0025328211,607
0.0025121637,608
0.0019864761,609
0.0020795823,610
0.001986367,611
0.0019429476,612
0.002158176,613
0.0021649962,614
0.0022326699,615
0.0031063075,616
0.0038651049,617
0.0041467235,618
0.003820416,619
0.0039251046,620
0.0041501937,621
0.0037211454,622
0.003555704,623
0.0033698913,624
0.0031173273,625
0.002673953,626
0.0025453619,627
0.002284208,628
0.0019823608,629
0.0017500392,630
0.0018845432,631
0.0018499556,632
0.0020827786,633
0.0018089432,634
0.0018501419,635
0.0020770233,636
0.0018867663,637
0.00176674,638
0.0017889454,639
0.0016349618,640
0.0015274951,641
0.0019460435,642
0.0027679065,643
0.004817001,644
0.004538106,645
0.0039615827,646
0.0040752175,647
0.0042959265,648
0.0040207203,649
0.0036595408,650
0.0038338986,651
0.0035255332,652
0.003800681,653
0.0034069065,654
0.0030595975,655
0.0029895105,656
0.0028492212,657
0.0028354626,658
0.0023903602,659
