@RELATION 'Music feature'
%rows=1
%columns=14720
%sample_rate=22050
%window_size=512
%step_size=512

@ATTRIBUTE 'Angles in phase domain' NUMERIC
@ATTRIBUTE WindowNumber NUMERIC

@DATA
2.6894584,684
2.762442,685
2.7728336,686
2.7881851,687
2.8564005,688
2.8884006,689
2.8755474,690
2.872103,691
2.87503,692
2.8727794,693
2.8657405,694
2.8656473,695
2.8619428,696
2.8613226,697
2.849286,698
2.8560288,699
2.8632627,700
2.8512425,701
2.80564,702
2.84618,703
2.814346,704
2.837421,705
2.8307426,706
2.898367,707
2.8449917,708
2.874007,709
2.872804,710
2.8654127,711
2.8399308,712
2.8599942,713
2.8725958,714
2.8386183,715
2.8560042,716
2.82393,717
2.7983506,718
2.8745031,719
2.8726807,720
2.871357,721
2.8631337,722
2.8595047,723
2.867908,724
2.868036,725
2.8568192,726
2.8627625,727
2.8722432,728
2.8735209,729
2.8381338,730
2.8741314,731
2.8463137,732
2.786066,733
2.8328745,734
2.8176427,735
2.7889776,736
2.7998254,737
2.8223245,738
2.7832243,739
2.8381884,740
2.8370206,741
2.8628747,742
2.8418076,743
2.828219,744
2.7974288,745
2.808544,746
2.7696497,747
2.858738,748
2.7943447,749
2.8094485,750
2.8430011,751
2.8212306,752
2.8552022,753
2.8180761,754
2.8041232,755
2.7610462,756
2.8121088,757
2.8074045,758
2.7879167,759
2.7942696,760
2.7673051,761
2.7761269,762
2.770091,763
2.80812,764
2.86192,765
2.8719258,766
2.7730446,767
2.8108683,768
2.8697846,769
2.8917134,770
2.8960063,771
2.8958719,772
2.8989725,773
2.904767,774
2.9052663,775
2.905652,776
2.900693,777
2.9001544,778
2.9002643,779
2.9055815,780
2.9042523,781
2.90277,782
2.900092,783
2.8980992,784
2.8961723,785
2.8863642,786
2.871985,787
2.8073993,788
2.8420599,789
2.8024964,790
2.8334608,791
2.807689,792
2.8449526,793
2.7833536,794
2.8033333,795
2.84994,796
2.858015,797
2.8311286,798
2.8117883,799
2.782363,800
2.8379216,801
2.9065423,802
2.9626303,803
2.9638913,804
2.9104059,805
2.9280682,806
2.93173,807
2.927251,808
2.9564734,809
2.9256036,810
2.9287012,811
2.9252515,812
2.8960032,813
2.8646362,814
2.8990986,815
2.8772724,816
2.8975763,817
2.9114456,818
2.90109,819
2.8360047,820
2.9121141,821
2.9064045,822
2.9294033,823
2.9629238,824
2.9342377,825
2.94173,826
2.913452,827
2.931448,828
2.9535325,829
2.9409328,830
2.9081573,831
2.9498374,832
2.9249995,833
2.923626,834
2.9298751,835
2.8911126,836
2.912637,837
2.9285164,838
2.9121478,839
2.899417,840
2.9169118,841
2.9132347,842
2.9350905,843
2.9089572,844
2.9000745,845
2.9168725,846
2.9078207,847
2.9184246,848
2.9604754,849
2.9608848,850
2.9398713,851
2.9020023,852
2.9095347,853
2.8891206,854
2.8893483,855
2.8941414,856
2.9217014,857
2.8623064,858
2.8848915,859
2.91177,860
2.904263,861
2.8977551,862
2.9173722,863
2.9442222,864
2.9469464,865
2.9036992,866
2.9339023,867
2.9113064,868
2.9420867,869
2.9078991,870
2.9115524,871
2.922522,872
2.9095633,873
2.8962817,874
2.9108913,875
2.9090497,876
2.906952,877
2.8862314,878
2.939876,879
2.9489815,880
2.96012,881
2.9253004,882
2.920237,883
2.972533,884
2.9577625,885
2.961923,886
2.9811478,887
2.9794507,888
2.9486535,889
2.9825416,890
2.9852912,891
2.9400654,892
2.9903433,893
2.9852242,894
2.9828618,895
2.9880483,896
2.9853766,897
2.9752839,898
2.9843347,899
2.9812872,900
2.959722,901
2.9436805,902
2.9706028,903
2.977451,904
2.9782557,905
2.959778,906
2.9486616,907
2.9497337,908
2.9650204,909
2.9158814,910
2.9455342,911
2.932579,912
2.9375434,913
2.9033995,914
2.9089067,915
2.9311776,916
2.929056,917
2.921013,918
2.9330628,919
2.9301958,920
2.9112122,921
2.9218543,922
2.911501,923
2.8970106,924
2.9180357,925
2.861182,926
2.9135015,927
2.9132454,928
2.90005,929
2.8760166,930
2.9086068,931
2.8363926,932
2.8802187,933
2.899619,934
2.883353,935
2.853466,936
2.9275577,937
2.937514,938
2.933441,939
2.9375846,940
2.9427428,941
2.9368804,942
2.939153,943
2.942901,944
2.9355605,945
2.936257,946
2.9319956,947
2.9239798,948
2.930368,949
2.926911,950
2.9098554,951
2.832346,952
2.8496227,953
2.855489,954
2.8268247,955
2.8472662,956
2.8661673,957
2.9007823,958
2.8503916,959
2.8181,960
2.8330956,961
2.8572154,962
2.8472135,963
2.8577862,964
2.862787,965
2.8096013,966
2.83543,967
2.9290714,968
2.9223816,969
2.886265,970
2.8988001,971
2.909388,972
2.9078834,973
2.849268,974
2.8967106,975
2.917946,976
2.885388,977
2.8980715,978
2.783413,979
2.87808,980
2.8960268,981
2.8326547,982
2.8728416,983
2.8089125,984
2.8271546,985
2.8662844,986
2.8939939,987
2.8164396,988
2.8224494,989
2.9106634,990
2.956422,991
3.0078444,992
3.0149968,993
3.021318,994
3.014665,995
2.989324,996
2.9981403,997
3.0127404,998
2.9701324,999
2.9578035,1000
2.9309084,1001
2.9028802,1002
2.9188666,1003
2.9118655,1004
2.9175146,1005
2.9052577,1006
2.9620988,1007
2.954705,1008
2.954259,1009
2.989052,1010
2.9636712,1011
2.951342,1012
2.9587934,1013
2.9230013,1014
2.9497151,1015
2.9095006,1016
2.8920572,1017
2.860118,1018
2.8380747,1019
2.8803513,1020
2.8491027,1021
2.7342672,1022
2.8003426,1023
2.818477,1024
2.8295197,1025
2.7730014,1026
2.7607532,1027
2.8367276,1028
2.8760722,1029
2.8474731,1030
2.8807151,1031
2.9263682,1032
2.8609078,1033
2.9138377,1034
2.812757,1035
2.7749166,1036
2.8082044,1037
2.916958,1038
2.933411,1039
2.9131935,1040
2.9177897,1041
2.9138417,1042
2.9338703,1043
2.8857634,1044
2.887578,1045
2.8797,1046
2.8416631,1047
2.838167,1048
2.8145998,1049
2.80066,1050
2.8346753,1051
2.7458189,1052
2.8184843,1053
2.8032331,1054
2.8287635,1055
2.714496,1056
2.7669034,1057
2.902223,1058
2.8979874,1059
2.9062316,1060
2.8888826,1061
2.9202144,1062
2.9217765,1063
2.918075,1064
2.891358,1065
2.8404326,1066
2.768018,1067
2.7337837,1068
2.7850535,1069
2.7561073,1070
2.7428377,1071
2.6383362,1072
2.727256,1073
2.794796,1074
2.8490658,1075
2.8109517,1076
2.8948143,1077
2.8422425,1078
2.8574092,1079
2.7595916,1080
2.7671318,1081
2.7316067,1082
2.7125602,1083
2.7398467,1084
2.7098737,1085
2.8340409,1086
2.706041,1087
2.7807348,1088
2.793825,1089
2.7517488,1090
2.7465765,1091
2.767913,1092
