@RELATION 'Music feature'
%rows=1
%columns=14720
%sample_rate=22050
%window_size=512
%step_size=512

@ATTRIBUTE 'Spectral centroid' NUMERIC
@ATTRIBUTE WindowNumber NUMERIC

@DATA
581.9931,596
588.4199,597
597.2327,598
584.6305,599
601.88763,600
632.65485,601
606.0483,602
544.6476,603
603.7987,604
576.6952,605
507.0057,606
579.16223,607
558.74146,608
487.17157,609
540.8634,610
459.05783,611
471.19955,612
488.48468,613
471.00055,614
499.37854,615
442.2632,616
431.34738,617
448.29727,618
398.7348,619
433.3572,620
436.77457,621
426.4427,622
416.54474,623
442.62488,624
465.00595,625
422.68536,626
433.09598,627
440.5152,628
435.67465,629
438.7754,630
442.99915,631
452.825,632
433.3335,633
428.07248,634
444.5458,635
436.7011,636
443.52896,637
448.93298,638
448.0781,639
464.3269,640
464.37534,641
466.82004,642
459.21353,643
476.02243,644
477.7808,645
464.17444,646
446.31195,647
467.1268,648
456.8644,649
457.59433,650
470.22336,651
450.27203,652
454.38583,653
480.71515,654
448.1968,655
437.7121,656
457.1703,657
460.35294,658
486.67233,659
466.56067,660
456.4839,661
463.43927,662
453.03586,663
498.40445,664
498.4482,665
512.8452,666
458.9416,667
488.94992,668
453.9667,669
471.8372,670
485.10806,671
500.85516,672
474.82202,673
503.5798,674
498.46924,675
525.9172,676
541.6692,677
494.85934,678
493.81348,679
525.0073,680
469.96063,681
488.1362,682
490.23627,683
502.39536,684
504.54465,685
510.35168,686
528.74554,687
550.2034,688
673.9655,689
700.4072,690
697.19415,691
675.9269,692
651.19543,693
650.51953,694
611.9027,695
657.8703,696
587.3754,697
643.4845,698
660.577,699
606.3201,700
588.2635,701
600.23224,702
601.6975,703
616.98096,704
596.5357,705
550.4027,706
567.6557,707
500.26355,708
594.9048,709
532.7624,710
528.218,711
595.0313,712
466.0001,713
538.55005,714
582.54144,715
493.83884,716
548.02386,717
857.23737,718
917.97595,719
907.7058,720
888.0223,721
764.7403,722
679.0415,723
643.00464,724
652.1492,725
644.5251,726
601.1897,727
571.5505,728
534.71405,729
587.8732,730
603.0733,731
604.9707,732
657.48145,733
645.6106,734
717.6872,735
695.94714,736
642.6501,737
634.4224,738
610.10974,739
585.5854,740
1072.9723,741
1035.0126,742
995.21594,743
958.85004,744
903.2518,745
908.98016,746
866.695,747
853.2935,748
802.78326,749
834.31805,750
751.93884,751
812.2211,752
789.4181,753
792.9982,754
819.77136,755
819.88214,756
803.6976,757
798.3519,758
815.2753,759
802.9258,760
821.75024,761
754.30206,762
784.98285,763
768.82764,764
729.9951,765
759.8769,766
1056.874,767
984.92,768
916.86975,769
891.49554,770
861.32947,771
810.87164,772
788.221,773
770.8045,774
779.4394,775
810.3409,776
812.68506,777
820.10614,778
802.7001,779
749.0739,780
762.6322,781
754.4005,782
765.4182,783
756.4342,784
728.94543,785
821.869,786
745.478,787
701.7047,788
788.72125,789
782.12366,790
787.34216,791
673.9041,792
580.1776,793
647.066,794
609.7948,795
641.72064,796
621.96857,797
616.98584,798
599.5332,799
613.1907,800
612.1718,801
547.2857,802
525.3012,803
531.4038,804
542.8175,805
530.655,806
517.0114,807
525.487,808
517.11755,809
524.268,810
518.4468,811
547.679,812
537.44324,813
531.8553,814
527.52686,815
538.9318,816
568.3659,817
536.1947,818
489.15918,819
521.35925,820
556.2542,821
532.6589,822
507.6728,823
490.22278,824
507.45566,825
530.52026,826
501.67627,827
521.8478,828
538.65247,829
569.0619,830
514.9851,831
504.8911,832
546.8231,833
561.1936,834
557.96063,835
604.88806,836
583.7136,837
513.4458,838
571.54926,839
592.62726,840
589.66656,841
537.13885,842
547.7402,843
542.9469,844
588.01544,845
579.9195,846
547.90454,847
549.6106,848
505.94437,849
596.08606,850
601.5935,851
616.9128,852
585.1925,853
646.66235,854
661.0905,855
595.20386,856
612.54675,857
617.5518,858
627.3866,859
574.8497,860
