@RELATION 'Music feature'
%rows=1
%columns=9770
%sample_rate=22050
%window_size=512
%step_size=512

@ATTRIBUTE 'Angles in phase domain' NUMERIC
@ATTRIBUTE WindowNumber NUMERIC

@DATA
1.0266051,1189
1.147997,1190
1.3415511,1191
1.4051343,1192
1.372684,1193
1.1365857,1194
1.5576651,1195
1.5249876,1196
1.4466451,1197
1.4555703,1198
1.1478783,1199
1.1231176,1200
1.3384513,1201
1.3657604,1202
1.3475379,1203
1.1557833,1204
1.1166425,1205
1.3569738,1206
1.3272986,1207
1.374248,1208
1.4122066,1209
1.1565071,1210
1.3501555,1211
1.564391,1212
1.6551604,1213
1.6478924,1214
1.3172002,1215
1.1735432,1216
1.5122159,1217
1.3452102,1218
1.5227215,1219
1.4167476,1220
0.9021752,1221
1.4078866,1222
1.4852722,1223
1.4348545,1224
1.5274792,1225
1.3359321,1226
1.1224359,1227
1.4453493,1228
1.4169075,1229
1.5088269,1230
1.2791415,1231
1.2567925,1232
1.483727,1233
1.4950486,1234
1.4941156,1235
1.5589416,1236
1.2319763,1237
1.4987663,1238
1.4380077,1239
1.5335001,1240
1.4689384,1241
1.3156651,1242
1.0779698,1243
1.4802569,1244
1.5345211,1245
1.511279,1246
1.5405611,1247
1.1473109,1248
1.2283716,1249
1.0392547,1250
1.2458066,1251
1.4349965,1252
1.0976611,1253
1.3156755,1254
1.357483,1255
1.428127,1256
1.6137395,1257
1.4505025,1258
1.2300141,1259
1.6380293,1260
1.6489261,1261
1.6203747,1262
1.4923693,1263
1.4102156,1264
1.6140285,1265
1.5939978,1266
1.5710826,1267
1.5366526,1268
1.0507694,1269
1.2465634,1270
1.3729391,1271
1.4361064,1272
1.4023509,1273
1.4948163,1274
1.038885,1275
1.5880066,1276
1.5523671,1277
1.5240037,1278
1.5396923,1279
1.1004153,1280
1.4247729,1281
1.4638131,1282
1.464579,1283
1.5208678,1284
1.2851667,1285
1.20867,1286
1.1133324,1287
1.1423562,1288
1.3454596,1289
1.2817979,1290
1.1396619,1291
1.40041,1292
1.4341809,1293
1.4639816,1294
1.5754863,1295
1.3289332,1296
1.3892426,1297
1.5481409,1298
1.6569347,1299
1.6190544,1300
1.5396621,1301
1.1027393,1302
1.528147,1303
1.547125,1304
1.4236056,1305
1.4750011,1306
1.4274772,1307
1.2164698,1308
1.5467558,1309
1.560445,1310
1.5877645,1311
1.2041113,1312
1.1908346,1313
1.3413697,1314
1.1899824,1315
1.201801,1316
1.3803153,1317
1.0494963,1318
1.4569426,1319
1.4470233,1320
1.5054922,1321
1.5156871,1322
1.3482724,1323
1.1888171,1324
1.2796162,1325
1.4070593,1326
1.4100863,1327
1.4924933,1328
1.0966079,1329
1.3562984,1330
1.4634707,1331
1.5083891,1332
1.4319364,1333
1.2957433,1334
1.1082543,1335
1.3581233,1336
1.5029359,1337
1.545337,1338
1.3322145,1339
1.3786366,1340
1.3690201,1341
1.3054284,1342
1.1198168,1343
1.4623413,1344
1.2970289,1345
1.4704888,1346
1.5211786,1347
1.5158947,1348
1.4681673,1349
1.1983347,1350
1.3061192,1351
1.5372154,1352
1.6098171,1353
1.494339,1354
1.3011292,1355
1.2885877,1356
1.4238346,1357
1.412118,1358
1.4423743,1359
1.4407704,1360
1.1976,1361
1.3746167,1362
1.4916618,1363
1.4310218,1364
1.4484665,1365
1.1821253,1366
1.1630784,1367
1.4511479,1368
1.4059248,1369
1.4501399,1370
1.4852643,1371
1.1384137,1372
1.3380053,1373
1.2672789,1374
1.4539043,1375
1.379663,1376
1.1469762,1377
1.2798928,1378
1.3512095,1379
1.4768026,1380
1.4935594,1381
1.3669161,1382
1.2599998,1383
1.6395314,1384
1.5962509,1385
1.6657761,1386
1.4445685,1387
