@RELATION 'Music feature'
%rows=1
%columns=9770
%sample_rate=22050
%window_size=512
%step_size=512

@ATTRIBUTE 'Spectral centroid' NUMERIC
@ATTRIBUTE WindowNumber NUMERIC

@DATA
2812.011,709
2969.0132,710
3882.6985,711
2911.6963,712
3240.9927,713
3227.9702,714
3121.2053,715
4071.488,716
2983.6042,717
3398.8196,718
3121.3237,719
3229.2437,720
3509.5608,721
4115.0986,722
2756.9197,723
3354.932,724
3134.521,725
3713.4453,726
4514.9233,727
2207.0784,728
3066.0562,729
2652.7703,730
3343.7312,731
3492.9993,732
2656.4668,733
3190.52,734
3439.8364,735
3702.6711,736
3638.4126,737
2992.0737,738
2453.7378,739
2509.0369,740
2907.147,741
3432.3047,742
4562.9775,743
3131.4512,744
3443.3884,745
3680.1833,746
3468.2344,747
3823.9675,748
3029.3164,749
2275.813,750
2468.6274,751
3435.109,752
3390.0642,753
2647.8894,754
3213.0144,755
3379.884,756
3836.4246,757
3470.1394,758
4213.75,759
2811.6396,760
3427.0896,761
3278.004,762
3428.8953,763
4430.347,764
2711.1067,765
3517.5923,766
3094.8042,767
3495.571,768
3691.4482,769
4384.9453,770
2289.0918,771
3228.9504,772
3328.2947,773
3217.1086,774
3802.6233,775
3756.6902,776
3563.527,777
3526.7207,778
2906.2544,779
3583.6736,780
3389.371,781
3315.24,782
3329.1375,783
3034.6133,784
3832.315,785
3205.6428,786
4368.096,787
4027.196,788
3864.01,789
4383.58,790
4130.3667,791
4267.088,792
3900.4858,793
3910.4414,794
4117.7095,795
3946.9167,796
4239.454,797
3647.3425,798
3674.857,799
3540.2905,800
3610.9724,801
3520.7004,802
3080.347,803
3342.6873,804
3297.9685,805
3247.579,806
3073.236,807
3259.554,808
3025.5225,809
2896.7034,810
3018.2566,811
2815.879,812
3639.6802,813
3312.2722,814
3756.8354,815
3660.1042,816
3157.7678,817
3672.0288,818
3295.5515,819
3834.4814,820
3365.6016,821
3387.4546,822
3363.3127,823
2706.9397,824
2875.0017,825
3337.08,826
3237.9868,827
2721.7607,828
3978.6106,829
2878.91,830
3516.7703,831
3696.521,832
4006.6047,833
4344.29,834
3295.1597,835
4081.8853,836
4124.8726,837
4106.157,838
4244.5415,839
3653.9531,840
3289.3398,841
3586.351,842
3482.6057,843
3708.0234,844
3847.5027,845
4312.48,846
4061.9136,847
4336.352,848
4754.797,849
4105.1455,850
2779.7202,851
3197.4146,852
3068.8625,853
2773.0444,854
4124.577,855
2242.1938,856
3147.9646,857
2536.4963,858
2494.1096,859
2806.0317,860
3090.1433,861
3014.9746,862
3657.7327,863
3953.403,864
3554.644,865
3667.1323,866
2617.249,867
3039.8538,868
3323.1467,869
2545.6177,870
4319.7715,871
2360.8162,872
2762.6394,873
2536.1062,874
3035.8691,875
3176.184,876
2430.712,877
2588.6873,878
1676.2742,879
2438.5981,880
2253.7676,881
3666.0078,882
2678.8735,883
3270.1667,884
3153.6548,885
3490.9846,886
4297.4575,887
2628.3657,888
2827.2388,889
2836.471,890
2887.762,891
2613.2332,892
3045.3403,893
2827.1514,894
2882.4382,895
3398.4727,896
3367.001,897
4432.6953,898
2188.7864,899
2645.5186,900
2761.6582,901
2942.4612,902
3308.6318,903
2721.9917,904
3967.3513,905
4197.417,906
4441.745,907
4755.371,908
3910.3472,909
2906.9556,910
2893.9617,911
3140.9543,912
3755.5188,913
4117.107,914
2401.1306,915
3051.7786,916
2861.527,917
3034.1206,918
3224.3691,919
2322.886,920
2187.7373,921
2176.0078,922
2446.3523,923
2469.209,924
3479.5005,925
2540.0625,926
3000.736,927
2977.0222,928
3168.7283,929
4205.9927,930
2593.046,931
3393.4177,932
2754.8657,933
2429.2058,934
2721.9504,935
2547.4531,936
2327.6304,937
2610.2002,938
2807.5322,939
3050.1626,940
3852.0305,941
2284.538,942
2704.2988,943
2006.3318,944
2827.233,945
3596.5586,946
2952.1523,947
3713.9565,948
4111.075,949
4806.0938,950
4182.599,951
2772.999,952
2582.493,953
2421.9717,954
3023.5764,955
3090.5352,956
4045.6848,957
2785.7627,958
3194.1133,959
2810.5305,960
3598.6028,961
3256.1863,962
3413.938,963
1849.3743,964
2723.0552,965
2825.0818,966
2786.6624,967
3482.3271,968
2815.8145,969
3195.5872,970
3309.821,971
3938.1418,972
3426.7954,973
3480.5286,974
3094.2288,975
2939.3,976
3382.9185,977
3612.6528,978
4388.4155,979
3330.1438,980
3196.602,981
3068.5857,982
3386.779,983
3532.8706,984
3030.2344,985
2261.5205,986
2552.5862,987
3051.4287,988
2701.4111,989
3060.6443,990
3170.7441,991
3432.986,992
3650.6172,993
3868.8098,994
4551.801,995
2630.0437,996
2942.4482,997
2977.1157,998
4664.732,999
4724.3154,1000
2757.9106,1001
2681.3652,1002
2605.6035,1003
3380.9836,1004
3201.4285,1005
3462.678,1006
2317.6125,1007
2575.8342,1008
3205.0107,1009
3344.8335,1010
3982.4812,1011
2964.0881,1012
3476.5854,1013
4002.6602,1014
4320.077,1015
5350.033,1016
3921.148,1017
3768.0557,1018
2947.6665,1019
2980.0144,1020
2971.842,1021
4257.0664,1022
2688.901,1023
3244.658,1024
2790.2395,1025
2999.3735,1026
2990.0688,1027
2470.1367,1028
2498.0415,1029
2430.4175,1030
2663.7727,1031
2727.654,1032
3258.3071,1033
3112.9011,1034
4797.6855,1035
5098.14,1036
5003.9116,1037
4693.177,1038
2941.0288,1039
3416.661,1040
2993.4424,1041
2911.0056,1042
3235.9768,1043
2963.3286,1044
2677.9053,1045
3184.799,1046
2870.3174,1047
3707.634,1048
3998.0415,1049
2983.0483,1050
2403.2703,1051
2744.3716,1052
2476.1392,1053
2795.6353,1054
2573.0232,1055
3444.85,1056
3272.2747,1057
3884.3914,1058
3399.3499,1059
4026.3213,1060
2955.5723,1061
3420.6326,1062
2911.0996,1063
3077.8545,1064
2901.9285,1065
2384.044,1066
3120.6697,1067
3199.5938,1068
3798.9216,1069
3317.4058,1070
2817.8452,1071
3112.9653,1072
2878.375,1073
3427.354,1074
3883.434,1075
3226.2695,1076
2776.7676,1077
3087.8904,1078
2878.9922,1079
3183.2698,1080
3813.1233,1081
2356.1624,1082
2834.6514,1083
3484.454,1084
3999.61,1085
3450.3723,1086
3562.225,1087
4014.631,1088
3876.4026,1089
4101.935,1090
4035.4917,1091
2972.5237,1092
3385.3574,1093
3179.625,1094
3669.8142,1095
3496.381,1096
3028.829,1097
2954.2844,1098
3591.6274,1099
3644.213,1100
3891.5574,1101
4330.6045,1102
3072.9253,1103
3299.3142,1104
3777.714,1105
3551.8748,1106
3439.7217,1107
3004.643,1108
3061.0378,1109
3432.143,1110
3712.1873,1111
3759.384,1112
4150.381,1113
2790.434,1114
3368.435,1115
3366.701,1116
3354.105,1117
3931.453,1118
2563.1704,1119
2576.4485,1120
2943.1582,1121
3209.005,1122
3461.2173,1123
2924.7915,1124
2936.1335,1125
3012.5408,1126
3356.9397,1127
3995.2683,1128
3186.8418,1129
4164.6465,1130
4107.103,1131
3942.6611,1132
4249.497,1133
3471.4958,1134
3301.404,1135
3469.4792,1136
3494.7122,1137
3348.5703,1138
4087.0938,1139
3258.3975,1140
3371.227,1141
3698.815,1142
3787.526,1143
4037.4714,1144
2656.6914,1145
2910.0146,1146
3358.014,1147
3224.5234,1148
3605.0745,1149
3586.7534,1150
2964.9192,1151
3302.9668,1152
3484.1868,1153
3691.375,1154
3900.5193,1155
2942.9968,1156
2734.539,1157
2848.7073,1158
3337.185,1159
3430.4814,1160
3152.519,1161
2708.2126,1162
3506.4004,1163
3813.174,1164
3988.9827,1165
4226.8135,1166
3185.4253,1167
3413.7778,1168
3271.8782,1169
3924.3066,1170
3955.5166,1171
3417.0212,1172
2942.9604,1173
3531.6235,1174
3699.2432,1175
4118.653,1176
4199.923,1177
3548.165,1178
3812.4858,1179
4076.2969,1180
3767.3176,1181
3728.6968,1182
3052.5393,1183
3619.2732,1184
3700.3682,1185
3794.7397,1186
4031.2197,1187
5145.029,1188
4183.7026,1189
4730.743,1190
3437.8135,1191
3612.212,1192
4398.4453,1193
2040.229,1194
3007.995,1195
2792.1948,1196
3220.1245,1197
3441.844,1198
2627.4353,1199
2885.3157,1200
3169.5679,1201
3210.4856,1202
3182.3047,1203
3369.823,1204
3044.787,1205
3412.8647,1206
3321.1755,1207
3404.9324,1208
3773.3374,1209
2873.3276,1210
3153.8047,1211
2907.4014,1212
3066.562,1213
3381.5044,1214
3169.4705,1215
2743.8162,1216
3773.7517,1217
3982.0134,1218
3428.069,1219
4629.936,1220
2773.174,1221
3775.0476,1222
3445.8071,1223
3683.7246,1224
3216.2358,1225
3348.0725,1226
3058.163,1227
3628.1875,1228
3471.7341,1229
3701.5254,1230
4064.584,1231
2601.6758,1232
2837.6016,1233
2912.8416,1234
3093.4036,1235
3572.8801,1236
2945.4717,1237
3115.586,1238
2940.9834,1239
3118.9995,1240
3192.6145,1241
3251.7974,1242
2170.034,1243
2600.9932,1244
2906.668,1245
2953.5522,1246
3530.8157,1247
2937.8945,1248
4180.1016,1249
3996.4185,1250
4188.593,1251
3700.5142,1252
3166.8062,1253
3151.881,1254
3080.6475,1255
2962.8215,1256
3174.46,1257
3407.8623,1258
2683.6072,1259
3222.5598,1260
3271.2546,1261
3452.137,1262
4064.7485,1263
2715.3748,1264
2800.5315,1265
2632.9473,1266
3082.1282,1267
3332.3308,1268
2563.1572,1269
3037.909,1270
3495.5854,1271
3664.4604,1272
3668.3735,1273
4176.453,1274
2471.537,1275
3500.0884,1276
3366.7505,1277
2860.3904,1278
3375.5142,1279
2504.724,1280
3235.594,1281
2693.1316,1282
3186.9453,1283
3629.545,1284
4016.995,1285
2332.5813,1286
3745.3752,1287
4381.864,1288
4226.2886,1289
3772.1365,1290
2625.305,1291
3555.6726,1292
3081.1821,1293
3263.797,1294
3705.8467,1295
3096.8887,1296
2601.8945,1297
2924.2632,1298
3138.2659,1299
3377.7407,1300
4137.794,1301
2777.2178,1302
3463.8796,1303
3371.1936,1304
3640.4302,1305
3897.9546,1306
3208.9062,1307
2915.3489,1308
3147.2202,1309
3210.5403,1310
3108.8396,1311
3296.7056,1312
3220.204,1313
3734.089,1314
4325.108,1315
4704.3257,1316
4094.0212,1317
2610.8254,1318
3318.769,1319
2875.867,1320
3746.1052,1321
3469.59,1322
3629.5706,1323
2981.5574,1324
3414.4583,1325
3432.1775,1326
3647.9563,1327
4806.039,1328
2213.7693,1329
2592.2954,1330
2583.1492,1331
2452.0515,1332
2893.3762,1333
3034.8904,1334
3022.139,1335
3384.0488,1336
2870.1633,1337
3334.775,1338
3083.2036,1339
2821.54,1340
2374.8064,1341
3439.9727,1342
4585.997,1343
3644.4102,1344
2640.9885,1345
2973.1116,1346
2738.6987,1347
2934.8398,1348
3588.3591,1349
3011.167,1350
2824.7346,1351
2971.9907,1352
3165.621,1353
3429.6365,1354
3390.5237,1355
3145.2808,1356
3500.0476,1357
3229.1677,1358
3263.81,1359
4238.971,1360
2896.7412,1361
3559.2573,1362
2874.3743,1363
2991.6882,1364
3348.006,1365
3144.3142,1366
2696.2002,1367
2609.9624,1368
2800.8904,1369
2980.7734,1370
4361.5757,1371
2162.7551,1372
3341.9011,1373
2988.4016,1374
3247.5713,1375
4516.9966,1376
2490.5708,1377
3423.2817,1378
2962.6023,1379
3245.7097,1380
3091.4119,1381
3154.3713,1382
2603.6584,1383
3079.0344,1384
3195.1262,1385
3125.5122,1386
4011.731,1387
2607.8333,1388
3511.158,1389
3383.6433,1390
3646.7092,1391
4112.9307,1392
2790.9675,1393
3186.334,1394
3078.0862,1395
3371.554,1396
3335.8,1397
3566.547,1398
2989.8037,1399
3478.806,1400
3278.2468,1401
3675.0684,1402
4381.2383,1403
2686.7734,1404
3527.6946,1405
2934.8289,1406
3091.3987,1407
3064.0872,1408
2689.469,1409
2632.831,1410
3192.818,1411
3702.8142,1412
3350.288,1413
3604.954,1414
2455.654,1415
3362.8823,1416
2995.6511,1417
3332.918,1418
4326.7026,1419
2612.4082,1420
3444.2395,1421
3623.6448,1422
3775.174,1423
3944.9233,1424
3600.0657,1425
3410.292,1426
3505.2383,1427
4009.6875,1428
3229.924,1429
3617.2537,1430
3717.942,1431
3703.5425,1432
3759.714,1433
3683.018,1434
3151.4226,1435
3509.0557,1436
3077.7131,1437
3554.3135,1438
3472.5647,1439
3525.7278,1440
2571.541,1441
3606.8882,1442
3478.5288,1443
3876.618,1444
4329.2363,1445
2902.6587,1446
3368.5938,1447
2999.8904,1448
3288.4304,1449
3198.5466,1450
3950.8982,1451
2386.5652,1452
3330.3328,1453
2996.133,1454
3278.4026,1455
4137.204,1456
2559.2888,1457
3356.6152,1458
3119.4338,1459
3151.5613,1460
3175.5815,1461
3131.1052,1462
2742.1423,1463
2953.7908,1464
3231.6694,1465
3348.2832,1466
3074.2363,1467
2900.835,1468
3707.4456,1469
4083.2954,1470
4119.1147,1471
4071.25,1472
3422.4314,1473
3610.8823,1474
3892.136,1475
3992.4912,1476
4311.2856,1477
3079.5667,1478
3717.0583,1479
3541.3994,1480
3332.2136,1481
3408.792,1482
3272.2983,1483
2650.7227,1484
3563.3823,1485
3571.767,1486
3479.862,1487
3338.3206,1488
3152.2664,1489
3469.0747,1490
3126.354,1491
3160.347,1492
3058.4548,1493
3332.245,1494
2770.9175,1495
3289.2495,1496
3445.2097,1497
3450.9443,1498
3920.7312,1499
2627.0596,1500
3011.903,1501
2868.796,1502
3184.887,1503
3521.927,1504
3139.3323,1505
2592.2214,1506
2982.6917,1507
3250.6526,1508
3510.8513,1509
3741.0342,1510
3261.6545,1511
3295.7312,1512
3280.4224,1513
3303.3262,1514
3061.2356,1515
2900.254,1516
2881.8433,1517
2957.2766,1518
3171.001,1519
3861.2725,1520
4053.1492,1521
3384.819,1522
3208.2012,1523
3674.3853,1524
3693.8691,1525
3630.774,1526
3383.4817,1527
2483.0532,1528
3432.6248,1529
3578.0554,1530
3652.5156,1531
3190.8801,1532
2854.8125,1533
3483.6177,1534
3238.0017,1535
3341.9375,1536
3149.1062,1537
3487.444,1538
3313.3918,1539
3943.7825,1540
3477.971,1541
3748.4836,1542
2869.2915,1543
2822.19,1544
3119.6025,1545
2836.6245,1546
3167.6418,1547
2704.2717,1548
2907.9624,1549
3438.3862,1550
3001.3357,1551
3494.9822,1552
3401.3137,1553
3348.88,1554
2771.4248,1555
3010.799,1556
2830.5447,1557
2670.5867,1558
2964.4631,1559
3438.032,1560
2886.7087,1561
3417.0435,1562
3412.3457,1563
3416.7202,1564
3340.923,1565
3547.2766,1566
3556.3345,1567
3366.5422,1568
2966.2776,1569
3408.6448,1570
4198.121,1571
3331.064,1572
3461.7712,1573
3707.5833,1574
3289.3674,1575
2792.4814,1576
2413.467,1577
3065.093,1578
3500.9607,1579
3882.329,1580
3826.9973,1581
3831.5063,1582
3763.443,1583
4003.3599,1584
3583.1038,1585
3688.6016,1586
3533.0732,1587
3033.8467,1588
3515.4844,1589
3451.3699,1590
3694.0537,1591
3517.4849,1592
3916.0376,1593
4509.5903,1594
4475.14,1595
4372.864,1596
4828.6875,1597
6015.291,1598
5937.238,1599
5772.305,1600
5912.712,1601
4292.421,1602
3570.1846,1603
3510.1282,1604
