@RELATION 'Music feature'
%rows=1
%columns=9770
%sample_rate=22050
%window_size=512
%step_size=512

@ATTRIBUTE 'Distances in phase domain' NUMERIC
@ATTRIBUTE WindowNumber NUMERIC

@DATA
0.21843517,637
0.21956602,638
0.2436451,639
0.23519757,640
0.34384432,641
0.13729784,642
0.1737194,643
0.15635839,644
0.18866774,645
0.36944315,646
0.24574333,647
0.37520084,648
0.38184482,649
0.35338998,650
0.39427218,651
0.31207934,652
0.25758985,653
0.21741234,654
0.19824393,655
0.18167837,656
0.34499443,657
0.23896043,658
0.24203905,659
0.18521823,660
0.19514927,661
0.33817333,662
0.16546264,663
0.23123941,664
0.2823131,665
0.2874152,666
0.28199428,667
0.3663739,668
0.3019783,669
0.33548918,670
0.30321634,671
0.32990983,672
0.40873086,673
0.19308726,674
0.23173964,675
0.19882585,676
0.18905021,677
0.21253486,678
0.31881684,679
0.21271111,680
0.28304774,681
0.2697747,682
0.27441177,683
0.3649986,684
0.18097715,685
0.18888606,686
0.15501484,687
0.16517533,688
0.25782758,689
0.30742383,690
0.27696687,691
0.3114331,692
0.32459718,693
0.32484388,694
0.32319668,695
0.18946937,696
0.20150962,697
0.19044016,698
0.2046392,699
0.36104533,700
0.19039242,701
0.27033743,702
0.3215381,703
0.26861867,704
0.2667515,705
0.3278566,706
0.17952137,707
0.12542155,708
0.16245769,709
0.2031124,710
0.36295328,711
0.19942854,712
0.28994036,713
0.26048517,714
0.3039748,715
0.38574082,716
0.28716707,717
0.24816458,718
0.25741535,719
0.2840312,720
0.2790346,721
0.3610548,722
0.19927388,723
0.21815905,724
0.19051714,725
0.26852784,726
0.38037246,727
0.13877301,728
0.16584656,729
0.13601261,730
0.15829286,731
0.27683675,732
0.26418012,733
0.32315394,734
0.36666548,735
0.3302509,736
0.3528823,737
0.2960796,738
0.15512761,739
0.1958761,740
0.1969322,741
0.22129846,742
0.36404684,743
0.27983248,744
0.2627964,745
0.27770337,746
0.291665,747
0.39229345,748
0.23844862,749
0.16480133,750
0.16188127,751
0.18414026,752
0.23926666,753
0.3141137,754
0.30514255,755
0.33359188,756
0.30953008,757
0.32224846,758
0.38267684,759
0.24498722,760
0.29200163,761
0.3081885,762
0.29112235,763
0.37355265,764
0.20370929,765
0.29098618,766
0.22490948,767
0.21878712,768
0.27932873,769
0.4150159,770
0.18869716,771
0.26803783,772
0.24942271,773
0.449257,774
0.48688465,775
0.41276562,776
0.3310416,777
0.34311527,778
0.39376462,779
0.44903457,780
0.3808034,781
0.34883994,782
0.26816374,783
0.27037317,784
0.3686574,785
0.3307967,786
0.5415928,787
0.555413,788
0.5086431,789
0.5517226,790
0.54305905,791
0.5122449,792
0.47492447,793
0.43008173,794
0.41394565,795
0.42642975,796
0.44191098,797
0.31620273,798
0.36736158,799
0.32518068,800
0.357121,801
0.31855026,802
0.2838895,803
0.25397927,804
0.2684265,805
0.26191828,806
0.24664983,807
0.23076305,808
0.23107333,809
0.24430004,810
0.22665918,811
0.22772998,812
0.32721364,813
0.39735097,814
0.45310515,815
0.38882145,816
0.3456314,817
0.42908853,818
0.4592177,819
0.4864743,820
0.40286258,821
0.335003,822
0.33684582,823
0.40043598,824
0.3353207,825
0.34647003,826
0.33150402,827
0.2837897,828
0.43438554,829
0.2816587,830
0.38328576,831
0.4004838,832
0.54537135,833
0.5411388,834
0.3122944,835
0.46200773,836
0.56989723,837
0.54661006,838
0.50865495,839
0.50937665,840
0.35056105,841
0.41888183,842
0.36924082,843
0.4196975,844
0.34577763,845
0.3999212,846
0.54111725,847
0.4159404,848
0.49654385,849
0.3626545,850
0.19353814,851
0.27081922,852
0.23446134,853
0.2344117,854
0.34291184,855
0.18022731,856
0.24850471,857
0.19218183,858
0.16432874,859
0.21366057,860
0.37293324,861
0.30064994,862
0.40424335,863
0.3610663,864
0.30724302,865
0.39398947,866
0.23125224,867
0.27125338,868
0.22278735,869
0.22074743,870
0.33147952,871
0.17409946,872
0.18196425,873
0.17210194,874
0.16936414,875
0.291955,876
0.21215607,877
0.16761555,878
0.14084491,879
0.1433,880
0.17050563,881
0.3989724,882
0.2522596,883
0.28981486,884
0.29546446,885
0.26340145,886
0.3867303,887
0.2225869,888
0.21562892,889
0.18061312,890
0.16096671,891
0.20588595,892
0.28554106,893
0.19584718,894
0.19676903,895
0.18188308,896
0.1823406,897
0.35337883,898
0.15587768,899
0.19439156,900
0.22141817,901
0.21434487,902
0.33616295,903
0.279202,904
0.43729556,905
0.5169065,906
0.5080958,907
0.54490715,908
0.37605867,909
0.25631014,910
0.23578057,911
0.20802814,912
0.19748546,913
0.34888527,914
0.19811173,915
0.2509612,916
0.23057528,917
0.23946711,918
0.33502632,919
0.24351826,920
0.17942865,921
0.18096456,922
0.14453897,923
0.17460306,924
0.35140616,925
0.2035488,926
0.3639286,927
0.2774611,928
0.27069628,929
0.35293144,930
0.20700209,931
0.25379872,932
0.17230693,933
0.18118088,934
0.2456782,935
0.21638066,936
0.20079094,937
0.2234528,938
0.21920429,939
0.24802536,940
0.35428572,941
0.18031208,942
0.17957205,943
0.13101281,944
0.20509046,945
0.33304575,946
0.26028004,947
0.3717765,948
0.4501913,949
0.49063525,950
0.40572426,951
0.30402717,952
0.2274839,953
0.22771384,954
0.22460365,955
0.20942244,956
0.32441282,957
0.18198968,958
0.22271712,959
0.18728657,960
0.19614443,961
0.21527718,962
0.32372773,963
0.13151346,964
0.17013492,965
0.16179855,966
0.18773256,967
0.34761667,968
0.205952,969
0.27469954,970
0.27635238,971
0.34189165,972
0.32390466,973
0.36628336,974
0.21558213,975
0.2345735,976
0.20729572,977
0.26658615,978
0.38598907,979
0.22586107,980
0.2002242,981
0.17937398,982
0.21410744,983
0.2717902,984
0.3025935,985
0.1456528,986
0.14653607,987
0.18834959,988
0.2191904,989
0.34994954,990
0.29618013,991
0.31781775,992
0.27440867,993
0.33791384,994
0.41493887,995
0.21387906,996
0.2504194,997
0.23124127,998
0.45522222,999
0.48339882,1000
0.23104481,1001
0.2460892,1002
0.22912167,1003
0.26949584,1004
0.28191826,1005
0.34503764,1006
0.17409183,1007
0.19627334,1008
0.24029578,1009
0.19884363,1010
0.36647683,1011
0.31249347,1012
0.33238798,1013
0.4075974,1014
0.45682403,1015
0.57229626,1016
0.48898092,1017
0.3145146,1018
0.24830538,1019
0.20740551,1020
0.21501689,1021
0.3953739,1022
0.20290722,1023
0.24663123,1024
0.22021532,1025
0.23735777,1026
0.34066993,1027
0.21433428,1028
0.22384469,1029
0.19085304,1030
0.16564114,1031
0.23722498,1032
0.35652745,1033
0.3410382,1034
0.49909464,1035
0.6304189,1036
0.5631637,1037
0.60762197,1038
0.29030454,1039
0.29298738,1040
0.24932082,1041
0.23659894,1042
0.2691923,1043
0.3332217,1044
0.2080472,1045
0.22440864,1046
0.20248494,1047
0.22205175,1048
0.38335454,1049
0.23464036,1050
0.19766499,1051
0.20474811,1052
0.16757728,1053
0.30673605,1054
0.33428732,1055
0.39830574,1056
0.3498491,1057
0.34212428,1058
0.29266527,1059
0.39162773,1060
0.26393613,1061
0.2734057,1062
0.23979957,1063
0.21227264,1064
0.23947152,1065
0.16662428,1066
0.254604,1067
0.25927565,1068
0.29672986,1069
0.32328048,1070
0.23973851,1071
0.26453003,1072
0.26394024,1073
0.34286612,1074
0.34476322,1075
0.35816607,1076
0.26792008,1077
0.3696228,1078
0.34315926,1079
0.28717002,1080
0.32785526,1081
0.20968872,1082
0.28951147,1083
0.4133126,1084
