@RELATION 'Music feature'
%rows=1
%columns=12922
%sample_rate=22050
%window_size=512
%step_size=512

@ATTRIBUTE 'Distances in phase domain' NUMERIC
@ATTRIBUTE WindowNumber NUMERIC

@DATA
0.04102461,504
0.024189698,505
0.016476037,506
0.013957283,507
0.012190997,508
0.011918464,509
0.039717585,510
0.034520138,511
0.009386511,512
0.008952293,513
0.006457513,514
0.013324572,515
0.010688866,516
0.0074059004,517
0.007243078,518
0.15246534,519
0.07027408,520
0.047041293,521
0.024572726,522
0.016325727,523
0.015244123,524
0.012100238,525
0.010433121,526
0.0067318287,527
0.021867838,528
0.044523574,529
0.017359296,530
0.008653801,531
0.0071411137,532
0.013388617,533
0.01279755,534
0.008205945,535
0.008410187,536
0.10800798,537
0.11971186,538
0.100497775,539
0.067054294,540
0.037396736,541
0.023984006,542
0.015404414,543
0.014523537,544
0.012560151,545
0.012339082,546
0.0397291,547
0.036213335,548
0.010488242,549
0.008396526,550
0.0035771374,551
6.641437E-4,552
5.164529E-4,553
3.669553E-4,554
0.0071690883,555
0.14670548,556
0.06725355,557
0.04260287,558
0.024724048,559
0.015135666,560
0.015430612,561
0.011723118,562
0.011160613,563
0.0063159303,564
0.023066241,565
0.044897906,566
0.01781669,567
0.007105658,568
0.008391906,569
0.012338887,570
0.01338491,571
0.0077599417,572
0.008318403,573
0.12642966,574
0.123416945,575
0.09416312,576
0.06573195,577
0.036075212,578
0.022913106,579
0.014265222,580
0.0151409255,581
0.011283074,582
0.014959278,583
0.041985016,584
0.029742792,585
0.008744883,586
0.008000645,587
0.0033323998,588
6.310813E-4,589
5.035313E-4,590
3.7936546E-4,591
0.03469267,592
0.13153887,593
0.065356374,594
0.041510116,595
0.023604231,596
0.014938156,597
0.015196673,598
0.011027662,599
0.01094176,600
0.00670071,601
0.028602026,602
0.04167652,603
0.0155556975,604
0.007563025,605
0.007927942,606
0.013212064,607
0.012534416,608
0.008148257,609
0.0078049535,610
0.12984437,611
0.122895874,612
0.094597764,613
0.061758045,614
0.03479874,615
