@RELATION 'Music feature'
%rows=1
%columns=12922
%sample_rate=22050
%window_size=512
%step_size=512

@ATTRIBUTE 'Spectral centroid' NUMERIC
@ATTRIBUTE WindowNumber NUMERIC

@DATA
975.103,957
361.85315,958
210.60144,959
174.74118,960
186.10617,961
2358.4648,962
1832.0083,963
1863.6722,964
535.50824,965
267.76556,966
117.877815,967
110.3697,968
95.095985,969
110.76302,970
3445.0027,971
3378.616,972
2878.3364,973
1406.4954,974
718.8325,975
465.44363,976
332.1215,977
206.02101,978
173.00441,979
2781.29,980
3043.3154,981
2123.0146,982
2657.9521,983
1206.254,984
648.20703,985
385.11475,986
244.57845,987
181.9436,988
1143.0842,989
2564.7136,990
2121.9758,991
1646.5103,992
1382.3265,993
1318.505,994
2070.2393,995
611.2112,996
959.78705,997
4317.1216,998
2419.735,999
1666.0643,1000
1709.849,1001
526.8085,1002
220.4153,1003
117.72768,1004
108.78582,1005
92.87581,1006
103.72024,1007
3408.3633,1008
3650.8447,1009
2307.8254,1010
1169.0574,1011
688.09564,1012
432.74396,1013
305.38776,1014
191.75505,1015
178.07227,1016
2815.8345,1017
3322.1667,1018
2137.2595,1019
2500.3896,1020
1164.978,1021
527.2792,1022
315.3187,1023
232.36365,1024
229.97897,1025
1885.1505,1026
2432.1528,1027
2103.5134,1028
1896.5054,1029
1579.4081,1030
1377.7979,1031
2041.8909,1032
663.2848,1033
970.022,1034
3055.1287,1035
2258.9233,1036
1640.5552,1037
1759.4648,1038
541.26086,1039
182.69707,1040
118.969154,1041
104.98942,1042
92.834656,1043
108.63142,1044
3626.7874,1045
3549.1135,1046
1928.7244,1047
1030.5812,1048
704.77856,1049
407.30847,1050
280.8081,1051
178.89603,1052
202.69522,1053
2676.8655,1054
3499.4485,1055
2255.8157,1056
2259.4421,1057
1091.5408,1058
545.108,1059
294.17746,1060
249.78122,1061
166.12639,1062
2576.5935,1063
2400.8574,1064
2472.2961,1065
2080.088,1066
1321.0774,1067
1312.1847,1068
2105.0005,1069
783.0613,1070
972.5616,1071
3168.863,1072
2100.842,1073
1684.827,1074
1773.4027,1075
550.3443,1076
159.22806,1077
118.63866,1078
101.29837,1079
93.49106,1080
107.15907,1081
3426.309,1082
2940.0295,1083
1637.5255,1084
972.1913,1085
795.0027,1086
389.8009,1087
256.56635,1088
181.78993,1089
208.98668,1090
2659.9814,1091
3217.57,1092
2342.4312,1093
2162.8335,1094
1043.6411,1095
473.66153,1096
255.06114,1097
189.05252,1098
234.18532,1099
3104.6968,1100
2478.192,1101
2473.654,1102
2212.0793,1103
1033.1058,1104
755.2926,1105
486.91656,1106
228.55972,1107
197.6333,1108
2639.6438,1109
1803.6434,1110
1677.3843,1111
1861.4031,1112
558.47125,1113
145.09378,1114
117.079704,1115
98.21615,1116
93.634384,1117
146.4925,1118
3296.4355,1119
2615.1582,1120
1504.8203,1121
980.35724,1122
891.6261,1123
377.7013,1124
239.30927,1125
201.5177,1126
197.0476,1127
2613.9387,1128
3039.6926,1129
2402.3044,1130
2034.6268,1131
947.39886,1132
501.59622,1133
243.42915,1134
212.28403,1135
166.54495,1136
3376.0508,1137
2791.577,1138
2968.2126,1139
1959.3314,1140
840.5457,1141
1336.4994,1142
2163.1128,1143
1033.8574,1144
1011.2485,1145
3029.1487,1146
1651.6572,1147
1478.133,1148
1708.2521,1149
557.57367,1150
143.29103,1151
116.15146,1152
96.465866,1153
92.193146,1154
464.7366,1155
2921.7183,1156
2254.7942,1157
1505.04,1158
1092.8003,1159
974.9378,1160
385.59158,1161
223.73705,1162
203.93414,1163
241.06664,1164
2813.6433,1165
2843.7275,1166
2618.6433,1167
1920.4429,1168
879.9139,1169
465.54916,1170
219.31367,1171
167.2389,1172
220.13959,1173
3464.504,1174
3105.2556,1175
2892.0693,1176
1515.5538,1177
722.6325,1178
1402.3625,1179
2117.7598,1180
1114.3876,1181
981.04407,1182
2946.1394,1183
1728.9818,1184
1399.1613,1185
1306.893,1186
792.7628,1187
620.0181,1188
911.0309,1189
1133.055,1190
1768.8627,1191
2538.1023,1192
2776.1377,1193
2517.5557,1194
2382.1055,1195
3553.4695,1196
3817.196,1197
2791.6572,1198
4410.73,1199
4098.5615,1200
3985.376,1201
3323.8982,1202
3402.7744,1203
3830.3787,1204
3678.917,1205
3066.7354,1206
2569.0781,1207
3008.9636,1208
3613.1384,1209
5077.378,1210
4316.946,1211
5193.6235,1212
5121.8496,1213
4614.4424,1214
6210.836,1215
6562.4385,1216
6799.4087,1217
6709.895,1218
6551.5923,1219
4002.707,1220
4680.035,1221
4040.0933,1222
4074.741,1223
3602.087,1224
3352.7395,1225
4031.408,1226
4092.5193,1227
4191.048,1228
3848.1763,1229
3278.342,1230
2986.1743,1231
3446.1086,1232
4049.6797,1233
3634.6511,1234
4674.8135,1235
4634.281,1236
4415.1025,1237
5552.199,1238
3466.7124,1239
3073.3857,1240
4211.0073,1241
3265.3271,1242
1921.9867,1243
1814.192,1244
1901.5327,1245
2110.1328,1246
2235.6846,1247
3593.1753,1248
4645.765,1249
4464.6064,1250
4060.3718,1251
5417.2324,1252
4392.187,1253
3902.371,1254
3861.7876,1255
3247.9358,1256
3445.2146,1257
4573.4414,1258
4542.0176,1259
4805.031,1260
4985.0625,1261
4844.2476,1262
4949.7007,1263
5252.777,1264
5452.713,1265
5411.215,1266
5203.4546,1267
4935.4336,1268
5300.947,1269
4583.758,1270
4555.12,1271
3985.0806,1272
4314.3286,1273
4177.3755,1274
5135.802,1275
3629.1155,1276
3315.7522,1277
4541.606,1278
3203.7974,1279
2902.9314,1280
3052.3682,1281
2610.1177,1282
2750.0781,1283
2326.8745,1284
4845.7896,1285
4600.034,1286
4575.806,1287
3145.1753,1288
3933.6938,1289
5116.8633,1290
4329.9336,1291
3848.7976,1292
4547.5693,1293
2690.4978,1294
2793.7498,1295
1871.9309,1296
1169.661,1297
978.3265,1298
970.5815,1299
1223.945,1300
1071.9352,1301
1195.0858,1302
5013.3755,1303
5194.527,1304
4502.663,1305
3944.912,1306
2898.9592,1307
2539.9736,1308
1681.5328,1309
1884.5852,1310
1301.472,1311
2561.0488,1312
2854.2905,1313
2273.392,1314
3305.015,1315
1456.4934,1316
828.46045,1317
1088.1392,1318
659.83215,1319
518.623,1320
428.9277,1321
4796.699,1322
4722.531,1323
4241.0444,1324
3097.8633,1325
3179.9978,1326
5018.6978,1327
3960.7593,1328
3468.3782,1329
4288.8325,1330
2664.1619,1331
