@RELATION 'Music feature'
%rows=1
%columns=12922
%sample_rate=22050
%window_size=512
%step_size=512

@ATTRIBUTE 'Zero-crossing rate' NUMERIC
@ATTRIBUTE WindowNumber NUMERIC

@DATA
0.005859375,1023
0.005859375,1024
0.00390625,1025
0.025390625,1026
0.07421875,1027
0.091796875,1028
0.05078125,1029
0.021484375,1030
0.005859375,1031
0.00390625,1032
0.009765625,1033
0.013671875,1034
0.07421875,1035
0.06640625,1036
0.0390625,1037
0.015625,1038
0.01171875,1039
0.0078125,1040
0.005859375,1041
0.00390625,1042
0.005859375,1043
0.005859375,1044
0.02734375,1045
0.083984375,1046
0.06640625,1047
0.046875,1048
0.01953125,1049
0.009765625,1050
0.009765625,1051
0.009765625,1052
0.009765625,1053
0.068359375,1054
0.076171875,1055
0.013671875,1056
0.033203125,1057
0.0078125,1058
0.005859375,1059
0.005859375,1060
0.005859375,1061
0.00390625,1062
0.025390625,1063
0.08984375,1064
0.07421875,1065
0.048828125,1066
0.01953125,1067
0.009765625,1068
0.00390625,1069
0.013671875,1070
0.01171875,1071
0.16015625,1072
0.044921875,1073
0.02734375,1074
0.015625,1075
0.0078125,1076
0.005859375,1077
0.005859375,1078
0.005859375,1079
0.00390625,1080
0.005859375,1081
0.029296875,1082
0.06640625,1083
0.064453125,1084
0.05078125,1085
0.005859375,1086
0.01171875,1087
0.009765625,1088
0.0078125,1089
0.009765625,1090
0.0625,1091
0.07421875,1092
0.017578125,1093
0.03515625,1094
0.005859375,1095
0.0078125,1096
0.00390625,1097
0.005859375,1098
0.00390625,1099
0.021484375,1100
0.087890625,1101
0.0703125,1102
0.056640625,1103
0.01953125,1104
0.009765625,1105
0.0078125,1106
0.0078125,1107
0.0078125,1108
0.060546875,1109
0.09375,1110
0.013671875,1111
0.015625,1112
0.0078125,1113
0.005859375,1114
0.005859375,1115
0.005859375,1116
0.00390625,1117
0.005859375,1118
0.033203125,1119
0.078125,1120
0.08203125,1121
0.037109375,1122
0.017578125,1123
0.0078125,1124
0.009765625,1125
0.009765625,1126
0.0078125,1127
0.07421875,1128
0.07421875,1129
0.015625,1130
0.0390625,1131
0.0078125,1132
0.005859375,1133
0.00390625,1134
0.005859375,1135
0.005859375,1136
0.01953125,1137
0.095703125,1138
0.072265625,1139
0.046875,1140
0.021484375,1141
0.00390625,1142
0.009765625,1143
0.013671875,1144
0.0234375,1145
0.09765625,1146
0.0625,1147
0.015625,1148
0.013671875,1149
0.0078125,1150
0.005859375,1151
0.005859375,1152
0.005859375,1153
0.005859375,1154
0.00390625,1155
0.029296875,1156
0.083984375,1157
0.09375,1158
0.015625,1159
0.013671875,1160
0.009765625,1161
0.0078125,1162
0.009765625,1163
0.0078125,1164
0.080078125,1165
0.0703125,1166
0.029296875,1167
0.0234375,1168
0.005859375,1169
0.005859375,1170
0.005859375,1171
0.00390625,1172
0.005859375,1173
0.033203125,1174
0.078125,1175
0.087890625,1176
0.046875,1177
0.025390625,1178
0.0078125,1179
0.005859375,1180
0.013671875,1181
0.015625,1182
0.14453125,1183
0.07421875,1184
0.013671875,1185
0.015625,1186
0.005859375,1187
0.0078125,1188
0.00390625,1189
0.013671875,1190
0.021484375,1191
0.021484375,1192
0.0234375,1193
0.142578125,1194
0.107421875,1195
0.0625,1196
0.146484375,1197
0.064453125,1198
0.072265625,1199
0.078125,1200
0.09375,1201
0.08984375,1202
0.08203125,1203
0.08984375,1204
0.046875,1205
0.033203125,1206
0.060546875,1207
0.041015625,1208
0.037109375,1209
0.08984375,1210
0.205078125,1211
0.232421875,1212
0.203125,1213
0.1796875,1214
0.40625,1215
0.451171875,1216
0.58203125,1217
0.59375,1218
0.490234375,1219
0.30859375,1220
0.205078125,1221
0.16015625,1222
0.166015625,1223
0.06640625,1224
0.029296875,1225
0.064453125,1226
0.056640625,1227
0.0625,1228
0.087890625,1229
0.056640625,1230
0.07421875,1231
0.11328125,1232
0.025390625,1233
0.130859375,1234
0.09765625,1235
0.154296875,1236
0.13671875,1237
0.34375,1238
0.109375,1239
0.072265625,1240
0.078125,1241
0.04296875,1242
0.029296875,1243
0.0234375,1244
0.015625,1245
0.01953125,1246
0.01171875,1247
0.080078125,1248
0.142578125,1249
0.205078125,1250
0.103515625,1251
0.337890625,1252
0.123046875,1253
0.08984375,1254
0.08984375,1255
0.1015625,1256
0.15625,1257
0.169921875,1258
0.126953125,1259
0.103515625,1260
0.16015625,1261
0.072265625,1262
0.107421875,1263
0.146484375,1264
0.1015625,1265
0.271484375,1266
0.134765625,1267
0.291015625,1268
0.2421875,1269
0.06640625,1270
0.08984375,1271
0.205078125,1272
0.1015625,1273
0.140625,1274
0.234375,1275
0.111328125,1276
0.0625,1277
0.0859375,1278
