@RELATION 'Music feature'
%rows=1
%columns=12922
%sample_rate=22050
%window_size=512
%step_size=512

@ATTRIBUTE 'Angles in phase domain' NUMERIC
@ATTRIBUTE WindowNumber NUMERIC

@DATA
1.1389383,992
1.491504,993
1.4301261,994
1.3257653,995
1.8953862,996
1.8323451,997
1.543499,998
1.3945012,999
1.2714603,1000
1.3132089,1001
2.1161237,1002
2.5477324,1003
2.9755337,1004
2.9994915,1005
3.0569022,1006
3.0138118,1007
1.5466286,1008
1.0441767,1009
1.1026946,1010
1.3136798,1011
1.5593774,1012
2.210825,1013
2.6909072,1014
2.97455,1015
2.9636478,1016
1.9244478,1017
1.2484163,1018
1.2894173,1019
1.2313894,1020
1.5960661,1021
1.9522271,1022
2.337079,1023
2.5203464,1024
2.7577195,1025
2.2903306,1026
1.1472006,1027
1.0480086,1028
1.1892717,1029
1.604335,1030
1.3542233,1031
1.3193619,1032
1.9055758,1033
1.898618,1034
1.6316948,1035
1.3466678,1036
1.2410537,1037
1.3017762,1038
2.131764,1039
2.7024922,1040
2.9731593,1041
3.0059264,1042
3.0478292,1043
2.978864,1044
1.3253293,1045
1.0027189,1046
1.0991601,1047
1.3368347,1048
1.6499708,1049
2.2646163,1050
2.7584255,1051
2.985283,1052
2.9913862,1053
1.6759908,1054
1.2859577,1055
1.1928773,1056
1.2949783,1057
1.5738229,1058
2.0037804,1059
2.2662132,1060
2.5331547,1061
2.7243636,1062
2.1674469,1063
1.0619907,1064
1.0135573,1065
1.2409346,1066
1.461755,1067
1.3571608,1068
1.2869909,1069
1.9170817,1070
1.828568,1071
1.5754263,1072
1.3053482,1073
1.3177111,1074
1.3673666,1075
2.1509495,1076
2.7205975,1077
2.9843674,1078
3.018209,1079
3.0414562,1080
2.99339,1081
1.3026809,1082
1.0229383,1083
1.091397,1084
1.2896063,1085
1.6707172,1086
2.4013717,1087
2.7857985,1088
2.9587507,1089
2.9582944,1090
1.5988115,1091
1.2807115,1092
1.186458,1093
1.2383057,1094
1.5927545,1095
2.0825803,1096
2.3257642,1097
2.589208,1098
2.7860806,1099
2.0377564,1100
1.1369792,1101
1.0716759,1102
1.3157854,1103
1.490758,1104
1.9428686,1105
2.470326,1106
2.973966,1107
2.9626896,1108
2.3904457,1109
1.2551875,1110
1.303835,1111
1.4288936,1112
2.1724424,1113
2.769318,1114
2.9998243,1115
3.0563,1116
3.0317488,1117
2.787453,1118
1.2379211,1119
1.0045727,1120
1.1418456,1121
1.3370222,1122
1.7203097,1123
2.3838344,1124
2.8560417,1125
3.0018244,1126
2.94962,1127
1.5520873,1128
1.3165407,1129
1.1666538,1130
1.319394,1131
1.6772976,1132
2.1387343,1133
2.3124106,1134
2.47371,1135
2.8344889,1136
1.785613,1137
1.0501837,1138
1.0543046,1139
1.2612228,1140
1.5133443,1141
1.3070045,1142
1.4221106,1143
1.9077895,1144
1.7882193,1145
1.6348176,1146
1.2476559,1147
1.3275431,1148
1.4286907,1149
2.1523364,1150
2.8942642,1151
2.980697,1152
3.0431888,1153
3.0704927,1154
2.6542714,1155
1.2389648,1156
0.99838334,1157
1.17129,1158
1.3502584,1159
1.8124999,1160
2.366189,1161
2.892621,1162
2.9863586,1163
2.677873,1164
1.4615892,1165
1.2777497,1166
1.1939878,1167
1.3308201,1168
1.6481789,1169
2.1580703,1170
2.4017565,1171
2.4533622,1172
2.8101554,1173
1.6749885,1174
1.0889766,1175
1.1071109,1176
1.3301233,1177
1.5140237,1178
1.2747549,1179
1.4791324,1180
1.8615059,1181
1.8132246,1182
1.5755084,1183
1.2430681,1184
1.2867342,1185
1.534099,1186
1.6935066,1187
1.78932,1188
1.3666219,1189
1.2776012,1190
1.1755819,1191
1.0436283,1192
1.0581528,1193
0.9358956,1194
0.9424723,1195
0.94699657,1196
0.7902839,1197
0.85761696,1198
0.9366847,1199
0.8038885,1200
0.8611517,1201
1.2782286,1202
1.1004701,1203
0.9061083,1204
0.97952294,1205
0.9155017,1206
0.81202745,1207
0.84697926,1208
0.83664954,1209
0.8334605,1210
0.9440143,1211
0.87359595,1212
0.80085737,1213
0.80693257,1214
0.87942004,1215
0.8354148,1216
0.86586833,1217
0.911935,1218
0.9125289,1219
0.9766135,1220
0.80781746,1221
0.859268,1222
0.87738913,1223
0.9242551,1224
0.8862067,1225
0.9366229,1226
0.9916986,1227
1.0738328,1228
1.0464954,1229
1.0757586,1230
1.0910757,1231
1.074939,1232
1.0302796,1233
1.1500208,1234
0.9605355,1235
0.8191602,1236
0.8870229,1237
1.0648338,1238
1.1289153,1239
1.0895008,1240
1.0781488,1241
1.0839119,1242
1.0446473,1243
1.234708,1244
1.134635,1245
1.2145945,1246
1.2770153,1247
1.19267,1248
0.8753729,1249
0.91312116,1250
0.9042243,1251
0.9667478,1252
0.9725427,1253
0.9851615,1254
1.0212562,1255
1.0478148,1256
1.1133803,1257
0.9845123,1258
0.803535,1259
0.9673228,1260
0.84625006,1261
0.92442715,1262
0.8997335,1263
0.8073034,1264
0.81593555,1265
0.854363,1266
0.82636726,1267
0.89531535,1268
0.83296674,1269
0.8907997,1270
0.912861,1271
0.8778093,1272
0.8786694,1273
0.8760204,1274
1.013216,1275
1.1418163,1276
1.056651,1277
0.9428606,1278
0.8753795,1279
0.8932914,1280
0.87455595,1281
0.91055435,1282
0.9445566,1283
0.9894744,1284
0.89857477,1285
0.8735151,1286
0.84707177,1287
0.9944802,1288
1.0552082,1289
0.9995663,1290
1.0123286,1291
1.0558039,1292
1.0245306,1293
1.314997,1294
1.0618812,1295
1.3432757,1296
1.3339623,1297
1.4217907,1298
1.4841516,1299
1.3728516,1300
1.4189203,1301
